0.965421689672052 - 0.356675550698903i	0.757876582717215 - 0.606862034833928i	0.516246756325116 - 0.730395465560468i	0.255360754373684 - 0.829872897665147i	0.284993460490322 + 0.796764162877988i	0.490849447723422 + 0.756758886711136i	0.727461444663547 + 0.567913574677497i	0.948805060023498 + 0.312642621236630i
0.908496929612646 - 0.323093158810290i	0.784668422463655 - 0.565621701911253i	0.540778774355543 - 0.721267055557685i	0.295494711193563 - 0.804977472830156i	0.287246671629756 + 0.750255335482054i	0.522297200798310 + 0.736511395434162i	0.808250236896539 + 0.579139366348063i	0.895506795397494 + 0.301970970031049i
0.939927239727777 - 0.287418221489661i	0.756230255379773 - 0.594725197087070i	0.511402836416194 - 0.712930137783193i	0.229994644198696 - 0.802160867246947i	0.278507747492090 + 0.787415292992808i	0.565267922074633 + 0.730417037327585i	0.804036476402408 + 0.582450838609182i	0.937601705802299 + 0.333631964641010i
0.951529571468710 - 0.292832360099999i	0.746132971560371 - 0.604914565406297i	0.545709811271540 - 0.735691265098538i	0.259586711607893 - 0.812763937835496i	0.267433149653846 + 0.813236242395183i	0.531527554380473 + 0.764250934464010i	0.794615297052675 + 0.565543222031267i	0.947079074537780 + 0.295421277864343i
0.933612587203571 - 0.289032696256518i	0.766283145491132 - 0.599086949281578i	0.504414400050979 - 0.749335164309910i	0.251326281353837 - 0.805296688495127i	0.246505508784394 + 0.793039552420297i	0.540054662459081 + 0.720788471243379i	0.774538719892891 + 0.559380452241477i	0.954166508293370 + 0.310603690333837i
0.929768248838109 - 0.282885940542421i	0.770443288091474 - 0.523210105827494i	0.501303547988218 - 0.727377451460032i	0.237582885013530 - 0.765337087263250i	0.224619175432044 + 0.838640245481392i	0.492537914568211 + 0.760018228798323i	0.756127170002166 + 0.589022963637811i	0.952664694396930 + 0.318441907394989i
0.939398601732463 - 0.286092414471307i	0.783440696390399 - 0.578866936867005i	0.565219413063887 - 0.697547124224466i	0.262662243667712 - 0.788005100946144i	0.232112563980507 + 0.815540743943600i	0.529660233254406 + 0.699211276892606i	0.789041028042002 + 0.574855590327995i	0.933181495977280 + 0.310708062042027i
0.954668444896804 - 0.323884302107003i	0.773964230480615 - 0.574066570613196i	0.549883220191288 - 0.743629355250468i	0.310028786944453 - 0.797453631730038i	0.246417797977532 + 0.797327584624508i	0.571468689524441 + 0.733492896552034i	0.796579330094829 + 0.582185673363278i	0.918769746710945 + 0.329809571709999i
0.933055015255867 - 0.311992951873119i	0.738755839250930 - 0.558842547981225i	0.557096624125695 - 0.747798269269337i	0.254001111921512 - 0.809175669677379i	0.271498990481151 + 0.801393972792609i	0.542852503027894 + 0.763374393119081i	0.790392584110233 + 0.547196787976856i	0.909828582822644 + 0.335702912022380i
0.918113923412545 - 0.301520185914630i	0.775039485928853 - 0.583021596138885i	0.570778129114592 - 0.774449339267336i	0.275836447769753 - 0.787214987992392i	0.280731692512378 + 0.804818265115705i	0.529118413607649 + 0.689294631225717i	0.827639578564507 + 0.529153342827961i	0.966210460439156 + 0.317737110414185i
0.934315539491544 - 0.334957056561801i	0.775725299921345 - 0.556348796766328i	0.549072186427066 - 0.781158649607759i	0.283213296687921 - 0.818006159243344i	0.279453455060802 + 0.797737276481699i	0.513698527599842 + 0.734801597162105i	0.731157021052804 + 0.548844139030105i	0.910573755930540 + 0.298058152211049i
