0.893210306378474 - 0.400030780986371i	0.592138071653053 - 0.673990923541277i	0.229306904235463 - 0.771818529052319i	-0.138645508998620 - 0.651703210112723i	-0.0874008320919183 + 0.663832112579839i	0.205924066570068 + 0.754953665871488i	0.573368672080537 + 0.716796349061302i	0.905234248923821 + 0.399996011293858i
0.877600790860748 - 0.403244550785879i	0.591721435807460 - 0.701421139089722i	0.212352466457768 - 0.789918084605897i	-0.146518486994286 - 0.684124124748678i	-0.114553013369793 + 0.679162787544958i	0.189544587726796 + 0.762276696972178i	0.584503947311354 + 0.732674059497132i	0.900538175660396 + 0.445501074309445i
0.908220342320747 - 0.400132918779268i	0.573323888607266 - 0.679498350049014i	0.195930351143566 - 0.792925825768486i	-0.0927557312070834 - 0.698541576110830i	-0.118819778780591 + 0.658780320021490i	0.221922534155601 + 0.775027537464978i	0.588431572165127 + 0.681885127205180i	0.874914893307898 + 0.435379280780365i
0.887428323156482 - 0.392493165659927i	0.567428306669231 - 0.732401116382027i	0.199118843634843 - 0.801502439356742i	-0.162300005265975 - 0.659125147012152i	-0.149671229129300 + 0.643858806363312i	0.184262719956170 + 0.783202410198843i	0.593255558286631 + 0.729717441470771i	0.878253286599008 + 0.385535866960650i
0.856693695446787 - 0.389167076981443i	0.595174153792599 - 0.713040548858947i	0.184463898263675 - 0.765361422051561i	-0.141756874977794 - 0.683875914110133i	-0.170467154287398 + 0.673640308985887i	0.177831199482029 + 0.784304337262289i	0.573487944708569 + 0.716284671752336i	0.869340061199102 + 0.453969147274909i
0.898789364377464 - 0.399357689527047i	0.550858324632151 - 0.686145824286744i	0.198550726641021 - 0.787682505356572i	-0.124745221885481 - 0.654641549436251i	-0.110762216234471 + 0.655824286919743i	0.198123338219066 + 0.752549707588904i	0.594555828140588 + 0.660059702183350i	0.896725316636202 + 0.411560950891611i
0.845092433271911 - 0.392001308215953i	0.586355472100428 - 0.690177692614311i	0.199849239688327 - 0.781482780501655i	-0.100543863442188 - 0.677083726694004i	-0.122603176863359 + 0.665081374966917i	0.209923857656465 + 0.801699997333945i	0.565668324483613 + 0.708233380838443i	0.827238351332273 + 0.425783100783179i
0.848033523127778 - 0.410203267051088i	0.592108460963879 - 0.668050825477247i	0.238623208427169 - 0.755476558090722i	-0.0846585277496833 - 0.663464258205282i	-0.106479777813916 + 0.643413690250402i	0.254468096056725 + 0.744860031611748i	0.598781311072647 + 0.698776026528946i	0.939258886501870 + 0.441081966662750i
0.870869933470232 - 0.426220714365158i	0.613103791718773 - 0.696919573558160i	0.211983169688473 - 0.772407407191176i	-0.0999499493753803 - 0.608654138471702i	-0.136995171128361 + 0.680087883866023i	0.209858255463633 + 0.746422141799849i	0.554630847629683 + 0.690232830332044i	0.887580805707268 + 0.416183730044766i
0.866086582300069 - 0.384909830273442i	0.588803198437261 - 0.707980350071765i	0.187727975665358 - 0.773673124944967i	-0.153846967833866 - 0.684712816984173i	-0.153289176982754 + 0.637735998739113i	0.209621640210971 + 0.785434906228160i	0.565792082308412 + 0.696450549036980i	0.874946648715093 + 0.408610449370679i
0.909619238111396 - 0.449482210304377i	0.597798826836990 - 0.694846555415553i	0.184095907715210 - 0.776111049614497i	-0.106287972028340 - 0.653149537159056i	-0.130030026641223 + 0.707126097002142i	0.215628824757651 + 0.743600365309192i	0.564312722851653 + 0.730544628320204i	0.894412748398707 + 0.378383988795150i
0.878424335225941 - 0.452396316370510i	0.530686330447592 - 0.699571688037306i	0.225902903398660 - 0.741147374277842i	-0.112809640186183 - 0.644533830431662i	-0.0998138772297120 + 0.642434999615390i	0.200570630385673 + 0.798046910888142i	0.592491562510877 + 0.660897718405781i	0.907713849290367 + 0.425022420676220i
0.892127678803761 - 0.396144250570701i	0.540868341729249 - 0.707274547701036i	0.224528195655649 - 0.797729774660239i	-0.160891603722821 - 0.668128415238988i	-0.118717442305263 + 0.660044018790947i	0.184627259222084 + 0.782194810831696i	0.572170047728069 + 0.711765293335795i	0.895335148525691 + 0.421544363673401i
0.848603446520921 - 0.411740801842883i	0.617242788513073 - 0.694934500650531i	0.222983909074450 - 0.769931245261286i	-0.195623062326682 - 0.627986824952935i	-0.117154324822936 + 0.652131793430436i	0.199696664028076 + 0.804083088530338i	0.580966937998953 + 0.711915382340566i	0.944465971177164 + 0.388474570524910i
0.854182742168246 - 0.411248592640469i	0.584670557537615 - 0.682030174504748i	0.162043038479305 - 0.757947184698550i	-0.145945046990527 - 0.640214212089069i	-0.114895112162426 + 0.650048982525935i	0.231229512919219 + 0.770192646398133i	0.561124043834660 + 0.663722763877835i	0.895499354304403 + 0.411212967295518i
0.868939289035094 - 0.413981420663873i	0.626124608612077 - 0.708424914825101i	0.208200673190375 - 0.818055030296292i	-0.151471259956355 - 0.672082152507334i	-0.111781499316862 + 0.665416900009374i	0.234606553241173 + 0.796160828639306i	0.585862537543062 + 0.685313409172478i	0.872448640294605 + 0.434270293795199i
0.888035938618929 - 0.457238976460162i	0.587362218626441 - 0.710690475273098i	0.208748518227215 - 0.766197097312096i	-0.153547783541918 - 0.685906684914677i	-0.0818055141836891 + 0.654720423305061i	0.224978130546966 + 0.756263761380236i	0.590403359675434 + 0.746047925482395i	0.888359573050292 + 0.390875412533777i
0.896919247068753 - 0.426890087815264i	0.602045269229660 - 0.688959624898034i	0.184843020159126 - 0.821000359253988i	-0.113097288754455 - 0.664588172587773i	-0.122757829478550 + 0.666873068832549i	0.207860861535121 + 0.753693579920850i	0.549081350235809 + 0.727685060761415i	0.881176024439814 + 0.390102622080952i
0.900507489528750 - 0.394439813598138i	0.592001678335789 - 0.694792813923375i	0.209983658122447 - 0.770341254199657i	-0.113769717047666 - 0.650754692594075i	-0.122961372064445 + 0.641281546216260i	0.193489976573208 + 0.805181222796235i	0.612357702620410 + 0.689501583111004i	0.893408981335450 + 0.398301702785031i
0.907547492793901 - 0.435028613522573i	0.550894249563559 - 0.715009954669737i	0.208170788747258 - 0.777864121984336i	-0.126418206533820 - 0.664619096783365i	-0.104724009128337 + 0.643565980475863i	0.176664430664042 + 0.758325819772356i	0.590455027544731 + 0.715828022136813i	0.897332910472325 + 0.441609421860438i
0.871755396225818 - 0.403709506998387i	0.627750851497489 - 0.702942575717013i	0.220249182873632 - 0.739466730149779i	-0.150606293589868 - 0.667547282615795i	-0.122105671536884 + 0.659635426254860i	0.236825695366643 + 0.773312429075287i	0.599413196692356 + 0.701175383625840i	0.896253727749955 + 0.433751225252104i
0.854630157992544 - 0.417558987296568i	0.574414577032821 - 0.729696447905360i	0.214153332868443 - 0.801744817663746i	-0.102631986997231 - 0.638097021759900i	-0.105787100347129 + 0.663605016968504i	0.207863289736303 + 0.777331189350396i	0.572471943841114 + 0.704707170972574i	0.900005807661314 + 0.426897009817779i
0.880896987718772 - 0.407933051712642i	0.576107286528184 - 0.682872435882984i	0.183665627826498 - 0.789553560382308i	-0.0996518912255571 - 0.649288608943825i	-0.106557935598614 + 0.701734991761737i	0.181395421755984 + 0.785447786860920i	0.591243899016034 + 0.685453292931241i	0.875446002580699 + 0.369861482263941i
0.885646080128249 - 0.443031085191825i	0.556278603424410 - 0.716514060061612i	0.206361812149950 - 0.801529193488835i	-0.117918108775685 - 0.678103100840448i	-0.110559819662430 + 0.627408384280960i	0.169407478762185 + 0.821019477768613i	0.572908982391234 + 0.693568603082702i	0.908119334712897 + 0.371023567059170i
0.908715614681144 - 0.431189290452318i	0.555368290850689 - 0.707514055849906i	0.191244519204238 - 0.738378585526644i	-0.115152987023830 - 0.667485389255490i	-0.140730976859620 + 0.608279955459403i	0.163220280337163 + 0.729103909405631i	0.537708789472158 + 0.707550738920257i	0.908057668465514 + 0.402329290382255i
0.914817251518264 - 0.406015342842110i	0.587364480400686 - 0.679939652899047i	0.219122483837101 - 0.815398428934688i	-0.108127014331211 - 0.664346623533247i	-0.160808665558190 + 0.642963464924257i	0.177818292161912 + 0.770934528724139i	0.532106243621527 + 0.672063243562301i	0.864861115106730 + 0.400901578481132i
0.888745783738888 - 0.413329008784238i	0.599851251781323 - 0.688916186534964i	0.227105652939641 - 0.745624651848037i	-0.138706046568294 - 0.685364084519384i	-0.120059853147079 + 0.705030671160204i	0.223995789054449 + 0.788659023868508i	0.557046077245250 + 0.700145322957473i	0.893204942399955 + 0.418903594364696i
0.855039988087750 - 0.382341639750615i	0.605032973509954 - 0.679941307065286i	0.197125441455342 - 0.772434398035764i	-0.115043714967236 - 0.640697756719875i	-0.0975562440201327 + 0.665889553005360i	0.221887075510139 + 0.751293233943101i	0.580173151784713 + 0.741245220929851i	0.873264679168277 + 0.403588855915196i
0.888029968955137 - 0.437828726925692i	0.580417843566697 - 0.720129430946569i	0.226903541751465 - 0.796767059899564i	-0.106681691530848 - 0.678662172081757i	-0.109097574972917 + 0.672799398628009i	0.218596296048579 + 0.798138175730725i	0.590027346562654 + 0.703235658965178i	0.897173586537878 + 0.427709987974690i
0.908183128080480 - 0.415896626772846i	0.590883417811556 - 0.682612683303476i	0.190812985949985 - 0.778041608573947i	-0.122119419736850 - 0.666682491397923i	-0.158164326944699 + 0.678965768671102i	0.165604069708583 + 0.808168851063527i	0.558987694375632 + 0.692545053509612i	0.889780085658343 + 0.401386534333635i
0.867083153742690 - 0.399785120017912i	0.563759529950323 - 0.747637259612363i	0.218553128962273 - 0.758369053513533i	-0.119004987660060 - 0.658071534419230i	-0.146095781480168 + 0.683617392925490i	0.176489984794058 + 0.763600447986595i	0.541044594422419 + 0.679120054147716i	0.892292295278249 + 0.389468136240678i
0.890325399171366 - 0.423945649376147i	0.580391995218082 - 0.721846404624856i	0.207535902975349 - 0.785043433268966i	-0.0969444940485129 - 0.625794155334220i	-0.0895372684649894 + 0.668383057332298i	0.229892774066853 + 0.804234639548702i	0.607226694883885 + 0.691583696747894i	0.894156108316218 + 0.365486600886439i
0.867959409024783 - 0.396262904515681i	0.568437821513247 - 0.659451619377662i	0.239729896352916 - 0.792066821961790i	-0.101019738348423 - 0.664927309141040i	-0.137812980461245 + 0.642572273858918i	0.157469546238505 + 0.761472903300816i	0.585731470357241 + 0.708430395533968i	0.892496520246103 + 0.428658266362196i
0.889962894991877 - 0.448864776625393i	0.614969641389097 - 0.739004646743268i	0.208503610151362 - 0.820244102687628i	-0.115263652482915 - 0.648443072800049i	-0.0929693824353492 + 0.669243604468638i	0.203711614611583 + 0.811880652627402i	0.574372137238341 + 0.686748952209931i	0.887545621936418 + 0.432728803973307i
0.901360969096748 - 0.402903127519938i	0.583814490057773 - 0.713135268910729i	0.190926436174592 - 0.783141132269502i	-0.163674104992584 - 0.649265827342961i	-0.117193828570411 + 0.636217570341547i	0.248455639932403 + 0.790669318867333i	0.621921885190528 + 0.717223302498046i	0.884780568519758 + 0.365914002708020i
0.891134230017162 - 0.359603565861429i	0.583212051486934 - 0.676979517790132i	0.212229416744081 - 0.803766931207848i	-0.135791680043458 - 0.672714608403125i	-0.151212329893890 + 0.657164282314412i	0.200163989309424 + 0.760628608449583i	0.587151192021797 + 0.739887807272434i	0.886498107168444 + 0.439604944809476i
0.877109224893752 - 0.406685537355157i	0.587096395514973 - 0.694013011441363i	0.228912064407334 - 0.759773859776676i	-0.130804577097280 - 0.657125740281249i	-0.118713585138270 + 0.652094854970494i	0.211008720794704 + 0.778384733325673i	0.553456676618783 + 0.732708248375473i	0.931297712559166 + 0.442093178648455i
0.880102173738549 - 0.414941996878625i	0.594455525615600 - 0.692099577753182i	0.160720616048256 - 0.789203717365354i	-0.0940793266388089 - 0.633046149189019i	-0.0904371530228539 + 0.648803824227137i	0.243673660254185 + 0.802105799870346i	0.613649953694292 + 0.684935289958044i	0.899101364989965 + 0.409219971582013i
0.913663638719086 - 0.435322763306393i	0.581272726742491 - 0.675027737412614i	0.234372983099953 - 0.745845484284747i	-0.148868078033586 - 0.631349466009376i	-0.0709320006465722 + 0.665559566310592i	0.226490130222337 + 0.817711999485211i	0.588695546863572 + 0.725538739113381i	0.877757453783095 + 0.422890110056934i
0.911896810578383 - 0.415213708301232i	0.569655888839113 - 0.705702958446999i	0.183249392222045 - 0.778474598619126i	-0.0950117681504272 - 0.668804488264585i	-0.109022730303870 + 0.633294160705565i	0.154988394650790 + 0.816950510856123i	0.573189422637638 + 0.720007584303716i	0.892962943255724 + 0.431322559768777i
0.918946830950291 - 0.413157561619353i	0.591385883221220 - 0.676810517563660i	0.220592401604254 - 0.754744827614302i	-0.0759483281247021 - 0.682946448988487i	-0.120128727180670 + 0.647686773068570i	0.209523013127110 + 0.752473264504579i	0.539394525653400 + 0.747487059592964i	0.874562300681933 + 0.430545258228435i
