0.818957929427494 - 0.527266670816581i	0.330860127894830 - 0.742252360738282i	-0.0702682766574817 - 0.685918985481744i	-0.268070628204514 - 0.347873182798813i	-0.294619419643477 + 0.364464130661297i	-0.0919221356493109 + 0.651282486959001i	0.354029309645005 + 0.766254835522927i	0.803747341830421 + 0.498166525955611i
0.770900787403631 - 0.528029343513969i	0.394616001959430 - 0.759774010895430i	-0.0820137149297597 - 0.651694277854634i	-0.307386663414739 - 0.336390557016599i	-0.282850640362787 + 0.308754102570241i	-0.0385287214543472 + 0.675905378443702i	0.379242730757428 + 0.774738311269675i	0.839566370536065 + 0.495214022808421i
0.806034957150198 - 0.547728732533495i	0.388492333170400 - 0.797325316567893i	-0.0954870257348331 - 0.673679118127327i	-0.294710983637442 - 0.357695094912376i	-0.298292369576953 + 0.348949900093378i	-0.0952934470922471 + 0.708540228142324i	0.364077940705184 + 0.741444802396964i	0.785016943447196 + 0.517938424333965i
0.781268839743110 - 0.476148581793514i	0.356459582694836 - 0.754540475855518i	-0.0598865763835261 - 0.664574935185493i	-0.289867033417236 - 0.333854666642891i	-0.298374267471478 + 0.368215227007463i	-0.0708657316638509 + 0.666901511561437i	0.345570796962349 + 0.724740686733633i	0.822910713536256 + 0.511970506047840i
0.757336768528628 - 0.537005713015183i	0.363548158773266 - 0.754480236257146i	-0.0706845613120561 - 0.654329031952842i	-0.301109917720324 - 0.366491547671384i	-0.291035773755122 + 0.328776716406202i	-0.0976638760870954 + 0.660423667590120i	0.365776093378665 + 0.753944326920199i	0.830450186415076 + 0.457751771319673i
0.796154257829630 - 0.478316037064664i	0.334537371908081 - 0.781742126489705i	-0.0885889140792193 - 0.667690415367861i	-0.312775288056371 - 0.354987584482603i	-0.278444392386598 + 0.335340380700991i	-0.0949794688721494 + 0.671556558336189i	0.350273552365954 + 0.732362666349071i	0.773701041141771 + 0.537729580686035i
0.844188606375608 - 0.489450039283312i	0.339316404345816 - 0.804687557885109i	-0.111326203110499 - 0.667425247905807i	-0.250495353739034 - 0.332873844697307i	-0.276652420899848 + 0.354111351194516i	-0.0777262172385227 + 0.694307967016297i	0.360241531163187 + 0.759077288810757i	0.805751206843211 + 0.533492370843763i
0.764587453112321 - 0.548084952602317i	0.397524939493206 - 0.728863868016318i	-0.0488992455482025 - 0.646730029553174i	-0.266432167747762 - 0.339718679315313i	-0.303185147159713 + 0.362613178326890i	-0.0588418061512744 + 0.627770305542585i	0.347545829494164 + 0.781340825051890i	0.788188102663236 + 0.521948893006143i
0.816036007234485 - 0.504825891874687i	0.365070969136590 - 0.753219363584832i	-0.0890979558986924 - 0.680044446529930i	-0.288420327501402 - 0.353293357483590i	-0.260026056262543 + 0.357485278733715i	-0.0656951853870329 + 0.668976894052965i	0.333194064909682 + 0.755558564514044i	0.841142289387307 + 0.527674203629663i
0.832042485982758 - 0.525992891170057i	0.291181491460776 - 0.739838873475540i	-0.0662317855728806 - 0.672767397812382i	-0.299692514576590 - 0.398942374426360i	-0.262399496491172 + 0.338843222120282i	-0.115629947479961 + 0.647006427723404i	0.331769355116292 + 0.761190566236182i	0.797508422058995 + 0.518758923152941i
0.811474242511187 - 0.514138812015110i	0.352561708899405 - 0.737290710479808i	-0.0957865408061774 - 0.667801998915078i	-0.296910730033248 - 0.377500781200252i	-0.295748864197955 + 0.326598560942729i	-0.0701355994883002 + 0.683806514930428i	0.340289082948416 + 0.745635776086360i	0.816110487048451 + 0.524627783735584i
